 Número Guia;Receita;Data;Nome;CPF/CNPJ;Valor Previsto;Valor Lançado;Valor Arrecadado
344;1121011102-Taxa de Autorização de Funcionamento de Transporte;02/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;191,2
345;1910011100-Multas Previstas em Legislação de Trânsito;02/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;1.923,12
346;1121011102-Taxa de Autorização de Funcionamento de Transporte;05/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;545,2
347;1910011100-Multas Previstas em Legislação de Trânsito;05/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;4.972,32
348;1910011100-Multas Previstas em Legislação de Trânsito;06/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;1.970,51
349;1121011102-Taxa de Autorização de Funcionamento de Transporte;06/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;40
350;1910011100-Multas Previstas em Legislação de Trânsito;07/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;1.131,08
351;1121011102-Taxa de Autorização de Funcionamento de Transporte;07/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;306,8
352;1121011102-Taxa de Autorização de Funcionamento de Transporte;08/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;1.320,80
353;1910011100-Multas Previstas em Legislação de Trânsito;08/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;1.741,96
354;1910011100-Multas Previstas em Legislação de Trânsito;09/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;1.170,18
355;1121011102-Taxa de Autorização de Funcionamento de Transporte;09/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;3.070,00
356;1910011100-Multas Previstas em Legislação de Trânsito;13/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;1.371,50
357;1121011102-Taxa de Autorização de Funcionamento de Transporte;13/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;133,6
358;1121011102-Taxa de Autorização de Funcionamento de Transporte;14/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;490
359;1910011100-Multas Previstas em Legislação de Trânsito;14/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;922,42
360;1910011100-Multas Previstas em Legislação de Trânsito;15/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;2.019,40
361;1121011102-Taxa de Autorização de Funcionamento de Transporte;15/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;83,6
362;1910011100-Multas Previstas em Legislação de Trânsito;16/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;1.243,33
363;1121011102-Taxa de Autorização de Funcionamento de Transporte;16/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;123,6
364;1910011100-Multas Previstas em Legislação de Trânsito;19/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;2.223,76
365;1121011102-Taxa de Autorização de Funcionamento de Transporte;19/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;207,2
366;1910011100-Multas Previstas em Legislação de Trânsito;20/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;2.162,77
367;1121011102-Taxa de Autorização de Funcionamento de Transporte;20/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;490
368;1910011100-Multas Previstas em Legislação de Trânsito;21/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;1.466,71
369;1121011102-Taxa de Autorização de Funcionamento de Transporte;21/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;250,8
370;1910011100-Multas Previstas em Legislação de Trânsito;22/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;1.107,82
371;1910011100-Multas Previstas em Legislação de Trânsito;22/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;25.335,44
372;1121011102-Taxa de Autorização de Funcionamento de Transporte;22/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;167,2
373;1910011100-Multas Previstas em Legislação de Trânsito;23/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;1.669,15
374;1121011102-Taxa de Autorização de Funcionamento de Transporte;23/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;442,8
375;1910011100-Multas Previstas em Legislação de Trânsito;26/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;1.030,32
