 Número Guia;Código;Receita;Data;Nome;CPF/CNPJ;Valor Previsto;Valor Lançado;Valor Arrecadado
266;1121011102;Taxa de Autorização de Funcionamento de Transporte;10/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;727.6
267;1910011100;Multas Previstas em Legislação de Trânsito;11/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;2749.83
268;1121011102;Taxa de Autorização de Funcionamento de Transporte;11/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;825.6
269;1910011100;Multas Previstas em Legislação de Trânsito;12/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;2629.27
270;1121011102;Taxa de Autorização de Funcionamento de Transporte;12/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;975.5
271;1990991100;Outras Receitas;15/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;0;0;4913.12
272;1910011100;Multas Previstas em Legislação de Trânsito;15/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;1649.26
273;1121011102;Taxa de Autorização de Funcionamento de Transporte;15/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;1008.30
274;1910011100;Multas Previstas em Legislação de Trânsito;16/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;976.33
275;1121011102;Taxa de Autorização de Funcionamento de Transporte;16/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;167.2
276;1910011100;Multas Previstas em Legislação de Trânsito;17/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;1839.16
277;1121011102;Taxa de Autorização de Funcionamento de Transporte;17/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;2286.90
278;1910011100;Multas Previstas em Legislação de Trânsito;18/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;1699.56
279;1121011102;Taxa de Autorização de Funcionamento de Transporte;18/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;1022.40
280;1121011102;Taxa de Autorização de Funcionamento de Transporte;19/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;467.4
281;1910011100;Multas Previstas em Legislação de Trânsito;19/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;2320.99
282;1121011102;Taxa de Autorização de Funcionamento de Transporte;22/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;851.7
283;1910011100;Multas Previstas em Legislação de Trânsito;22/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;1083.01
284;1910011100;Multas Previstas em Legislação de Trânsito;23/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;1197.12
285;1910011100;Multas Previstas em Legislação de Trânsito;23/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;27242.03
286;1121011102;Taxa de Autorização de Funcionamento de Transporte;23/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;204.5
287;1910011100;Multas Previstas em Legislação de Trânsito;24/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;2028.94
288;1121011102;Taxa de Autorização de Funcionamento de Transporte;24/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;2182.10
289;1121011102;Taxa de Autorização de Funcionamento de Transporte;25/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;1632.60
290;1910011100;Multas Previstas em Legislação de Trânsito;25/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;1253.81
291;1910011100;Multas Previstas em Legislação de Trânsito;26/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;1114.40
292;1910011100;Multas Previstas em Legislação de Trânsito;26/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;430.7
293;1121011102;Taxa de Autorização de Funcionamento de Transporte;29/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;203.6
294;1910011100;Multas Previstas em Legislação de Trânsito;29/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;817.13
295;1910011100;Multas Previstas em Legislação de Trânsito;30/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;1927.99
296;1121011102;Taxa de Autorização de Funcionamento de Transporte;30/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;400.2
297;1121011102;Taxa de Autorização de Funcionamento de Transporte;31/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;562.5
298;1910011100;Multas Previstas em Legislação de Trânsito;31/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;3669.72
299;1321001103;Remuneração de Outros Depósitos de Recursos não vinculados;31/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;10000.00;0;15.87
300;1121011102;Taxa de Autorização de Funcionamento de Transporte;01/08/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;167.2
301;1910011100;Multas Previstas em Legislação de Trânsito;01/08/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;2389.43
302;1121011102;Taxa de Autorização de Funcionamento de Transporte;02/08/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;1354.70
303;1910011100;Multas Previstas em Legislação de Trânsito;02/08/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;1358.86
304;1910011100;Multas Previstas em Legislação de Trânsito;05/08/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;6989.47
305;1121011102;Taxa de Autorização de Funcionamento de Transporte;05/08/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;2156.60
306;1910011100;Multas Previstas em Legislação de Trânsito;06/08/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;2891.43
307;1910011100;Multas Previstas em Legislação de Trânsito;07/08/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;1505.16
308;1121011102;Taxa de Autorização de Funcionamento de Transporte;07/08/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;3609.00
309;1121011102;Taxa de Autorização de Funcionamento de Transporte;08/08/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;2814.10
310;1910011100;Multas Previstas em Legislação de Trânsito;08/08/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;312.02
311;1121011102;Taxa de Autorização de Funcionamento de Transporte;09/08/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;3250.60
312;1910011100;Multas Previstas em Legislação de Trânsito;09/08/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;1322.68
313;1121011102;Taxa de Autorização de Funcionamento de Transporte;12/08/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;348.45
314;1910011100;Multas Previstas em Legislação de Trânsito;12/08/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;2297.90
315;1121011102;Taxa de Autorização de Funcionamento de Transporte;13/08/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;993.6
316;1910011100;Multas Previstas em Legislação de Trânsito;13/08/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;1782.68
317;1990991100;Outras Receitas;14/08/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;0;0;4936.38
318;1910011100;Multas Previstas em Legislação de Trânsito;14/08/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;2087.10
319;1121011102;Taxa de Autorização de Funcionamento de Transporte;14/08/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;1754.60
320;1910011100;Multas Previstas em Legislação de Trânsito;15/08/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;1300.15
321;1121011102;Taxa de Autorização de Funcionamento de Transporte;15/08/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;580
322;1910011100;Multas Previstas em Legislação de Trânsito;16/08/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;955.78
323;1121011102;Taxa de Autorização de Funcionamento de Transporte;16/08/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;395.2
324;1910011100;Multas Previstas em Legislação de Trânsito;19/08/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;3333.42
325;1121011102;Taxa de Autorização de Funcionamento de Transporte;19/08/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;687.2
326;1910011100;Multas Previstas em Legislação de Trânsito;20/08/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;616.21
327;1910011100;Multas Previstas em Legislação de Trânsito;21/08/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;594.9
328;1121011102;Taxa de Autorização de Funcionamento de Transporte;21/08/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;1132.50
329;1910011100;Multas Previstas em Legislação de Trânsito;22/08/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;986.94
330;1121011102;Taxa de Autorização de Funcionamento de Transporte;22/08/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;120
331;1910011100;Multas Previstas em Legislação de Trânsito;23/08/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;988.01
